id,disease_type,year,lat,lon,region,subregion,country,location,nearest_town,genus_species,percentage_incidence,disease_remarks,mortality_percentage,diseased_percentage,reference_id,remarks,country_code,source
1,Black-band Disease,1981,10.90107,-68.21131,Asia,South Asia,India,Cayo Norte (southern reefs),Morrocoy Park,Diploria strigosa,,Many (50+) colonies,,,6297,,IND,"Ramos-Flores, T., 1983. Lower marine fungus associated with black line disease in star corals (Montastrea annularis, E.&S.). Biol. Bull. 165:429-435."
2,Black-band Disease,1981,10.90107,-68.21131,Americas,Southern Tropical America,Venezuela,Cayo Norte (southern reefs),Morrocoy Park,Montastrea annularis,,Many (50+) colonies,,,6297,,VEN,"Ramos-Flores, T., 1983. Lower marine fungus associated with black line disease in star corals (Montastrea annularis, E.&S.). Biol. Bull. 165:429-435."
3,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Colpophyllia natans,5,Single (1) colony,,0.0003,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
4,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Diploria labyrinthiformis,0.3,Few (2-50) colonies,,0.0003,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
5,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Montastrea annularis,0.02,Few (2-50) colonies,,0.822,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
6,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Montastrea cavernosa,1.4,Few (2-50) colonies,,0.0009,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
7,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Diploria strigosa,5.5,Few (2-50) colonies,,0.002,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
8,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Siderastrea siderea,0.4,Few (2-50) colonies,,0.002,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
9,Black-band Disease,1989,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Diploria strigosa,,no record,,,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
10,Black-band Disease,1989,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Montastrea annularis,,no record,,,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
11,Black-band Disease,1989,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Montastrea cavernosa,,no record,,,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
12,Black-band Disease,1989,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Siderastrea siderea,,no record,,,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
13,Black-band Disease,1989,17.78333,-64.6167,Americas,U.S. Caribbean,Virgin Islands (U.S.),Buck Island,St. Croix Island,Diploria strigosa,,Few (2-50) colonies,,,796,,VIR,"Bythell,  J.C.,  E.H. Gladfelter and M. Bythell, 1993. Chronic and catastrophic natural mortality of three common Caribbean reef corals. Coral Reefs 12(3/4):143-152."
14,Black-band Disease,1990,17.78333,-64.6167,Americas,U.S. Caribbean,Virgin Islands (U.S.),Buck Island,St. Croix Island,Diploria strigosa,,Few (2-50) colonies,,,796,,VIR,"Bythell,  J.C.,  E.H. Gladfelter and M. Bythell, 1993. Chronic and catastrophic natural mortality of three common Caribbean reef corals. Coral Reefs 12(3/4):143-152."
15,Black-band Disease,1991,17.78333,-64.6167,Americas,U.S. Caribbean,Virgin Islands (U.S.),Buck Island,St. Croix Island,Diploria strigosa,,Few (2-50) colonies,,,796,,VIR,"Bythell,  J.C.,  E.H. Gladfelter and M. Bythell, 1993. Chronic and catastrophic natural mortality of three common Caribbean reef corals. Coral Reefs 12(3/4):143-152."
16,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St John Island,Montastrea cavernosa,1.2,Few (2-50) colonies,,0.002,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
17,Black-band Disease,1988,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St John Island,Siderastrea siderea,0.4,Few (2-50) colonies,,0.004,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
18,Black-band Disease,1988,18.4317,-64.6625,Americas,U.S. Caribbean,Virgin Islands (U.S.),Cane Garden Bay,Tortola Island,Montastrea cavernosa,1.2,Few (2-50) colonies,,0.002,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
19,Black-band Disease,1988,18.4317,-64.6625,Americas,U.S. Caribbean,Virgin Islands (U.S.),Cane Garden Bay,Tortola Island,Siderastrea siderea,0.4,Few (2-50) colonies,,0.004,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
20,Black-band Disease,1988,17.78333,-64.6167,Americas,U.S. Caribbean,Virgin Islands (U.S.),Buck Island,St Croix Island,Montastrea cavernosa,1.2,Few (2-50) colonies,,0.002,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
21,Black-band Disease,1988,17.78333,-64.6167,Americas,U.S. Caribbean,Virgin Islands (U.S.),Buck Island,St Croix Island,Siderastrea siderea,0.4,Few (2-50) colonies,,0.004,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
22,Black-band Disease,1989,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Diploria strigosa,,no record,,,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
23,Black-band Disease,1989,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Montastrea annularis,,no record,,,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
24,Black-band Disease,1989,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Montastrea cavernosa,,no record,,,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
25,Black-band Disease,1989,18.30656,-65.60938,Americas,U.S. Caribbean,Virgin Islands (U.S.),Greater Lameshur Bay,St. John Island,Siderastrea siderea,,no record,,,625,,VIR,"Edmunds,  P.J., 1991. Extent and effect of black band disease on a Caribbean reef. Coral Reefs 10(3):161-165."
26,Black-band Disease,1995,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Diploria labyrinthiformis,,no record,,,11900,,PRI,
27,Black-band Disease,1996,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Diploria labyrinthiformis,,no record,,,11900,,PRI,
28,Black-band Disease,1995,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Montastrea cavernosa,,no record,,,11900,,PRI,
29,Black-band Disease,1996,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Montastrea cavernosa,,no record,,,11900,,PRI,
30,Black-band Disease,1995,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Montastrea faveolata,,no record,,,11900,,PRI,
31,Black-band Disease,1996,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Montastrea faveolata,,no record,,,11900,,PRI,
32,Black-band Disease,1995,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Siderastrea siderea,,no record,,,11900,,PRI,
33,Black-band Disease,1996,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Siderastrea siderea,,no record,,,11900,,PRI,
34,Black-band Disease,1997,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Diploria labyrinthiformis,,no record,,,11900,,PRI,
35,Black-band Disease,1995,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Diploria strigosa,,no record,,,11900,,PRI,
36,Black-band Disease,1996,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Diploria strigosa,,no record,,,11900,,PRI,
37,Black-band Disease,1997,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Diploria strigosa,,no record,,,11900,,PRI,
38,Black-band Disease,1997,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Montastrea cavernosa,,no record,,,11900,,PRI,
39,Black-band Disease,1997,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Montastrea faveolata,,no record,,,11900,,PRI,
40,Black-band Disease,1997,18.35,-67.25,Americas,U.S. Caribbean,Puerto Rico,Steps,Rincon,Siderastrea siderea,,no record,,,11900,,PRI,
41,Black-band Disease,1995,18.0667,-67.8667,Americas,U.S. Caribbean,Puerto Rico,Sardinera,Mona Island,Diploria clivosa,,no record,,,11900,,PRI,
42,Black-band Disease,1995,18.0667,-67.8667,Americas,U.S. Caribbean,Puerto Rico,Sardinera,Mona Island,Montastrea cavernosa,,no record,,,11900,,PRI,
43,Black-band Disease,1995,18.0667,-67.8667,Americas,U.S. Caribbean,Puerto Rico,Sardinera,Mona Island,Montastrea faveolata,,no record,,,11900,,PRI,
44,Black-band Disease,1997,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea annularis,,no record,,,11900,,PRI,
45,Black-band Disease,1996,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea annularis,,no record,,,11900,,PRI,
46,Black-band Disease,1995,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea annularis,,no record,,,11900,,PRI,
47,Black-band Disease,1997,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea cavernosa,,no record,,,11900,,PRI,
48,Black-band Disease,1996,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea cavernosa,,no record,,,11900,,PRI,
49,Black-band Disease,1995,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea cavernosa,,no record,,,11900,,PRI,
50,Black-band Disease,1997,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea faveolata,,no record,,,11900,,PRI,
51,Black-band Disease,1996,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea faveolata,,no record,,,11900,,PRI,
52,Black-band Disease,1995,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea faveolata,,no record,,,11900,,PRI,
53,Black-band Disease,1997,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea franksi,,no record,,,11900,,PRI,
54,Black-band Disease,1996,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea franksi,,no record,,,11900,,PRI,
55,Black-band Disease,1995,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Montastrea franksi,,no record,,,11900,,PRI,
56,Black-band Disease,1996,17.94,-67.06,Americas,U.S. Caribbean,Puerto Rico,La Conserva,La Parguera,Stephanocoenia intersepta,,no record,,,11900,,PRI,
57,Black-band Disease,1997,17.94,-67.06,Americas,U.S. Caribbean,Puerto Rico,La Conserva,La Parguera,Stephanocoenia intersepta,,no record,,,11900,,PRI,
58,Black-band Disease,1994,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Diploria labyrinthiformis,,no record,,,11900,,PRI,
59,Black-band Disease,1995,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Diploria labyrinthiformis,,no record,,,11900,,PRI,
60,Black-band Disease,1996,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Diploria labyrinthiformis,,no record,,,11900,,PRI,
61,Black-band Disease,1997,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Diploria labyrinthiformis,,no record,,,11900,,PRI,
62,Black-band Disease,1994,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Diploria strigosa,,no record,,,11900,,PRI,
63,Black-band Disease,1995,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Diploria strigosa,,no record,,,11900,,PRI,
64,Black-band Disease,1996,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Diploria strigosa,,no record,,,11900,,PRI,
65,Black-band Disease,1997,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Diploria strigosa,,no record,,,11900,,PRI,
66,Black-band Disease,1994,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Montastrea annularis,,no record,,,11900,,PRI,
67,Black-band Disease,1995,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Montastrea annularis,,no record,,,11900,,PRI,
68,Black-band Disease,1996,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Montastrea annularis,,no record,,,11900,,PRI,
69,Black-band Disease,1997,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Montastrea annularis,,no record,,,11900,,PRI,
70,Black-band Disease,1994,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Montastrea cavernosa,,no record,,,11900,,PRI,
71,Black-band Disease,1995,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Montastrea cavernosa,,no record,,,11900,,PRI,
72,Black-band Disease,1996,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Montastrea cavernosa,,no record,,,11900,,PRI,
73,Black-band Disease,1997,17.93444,-67.0556,Americas,U.S. Caribbean,Puerto Rico,Mario,La Parguera,Montastrea cavernosa,,no record,,,11900,,PRI,
74,Black-band Disease,1996,17.94,-67.06,Americas,U.S. Caribbean,Puerto Rico,La Conserva,La Parguera,Siderastrea siderea,,no record,,,11900,,PRI,
75,Black-band Disease,1997,17.94,-67.06,Americas,U.S. Caribbean,Puerto Rico,La Conserva,La Parguera,Siderastrea siderea,,no record,,,11900,,PRI,
76,Black-band Disease,1995,18.0667,-67.8667,Americas,U.S. Caribbean,Puerto Rico,Sardinera,Mona Island,Siderastrea siderea,,no record,,,11900,,PRI,
77,Black-band Disease,1996,18.0667,-67.8667,Americas,U.S. Caribbean,Puerto Rico,Sardinera,Mona Island,Diploria clivosa,,no record,,,11900,,PRI,
78,Black-band Disease,1995,18.0667,-67.8667,Americas,U.S. Caribbean,Puerto Rico,Sardinera,Mona Island,Diploria strigosa,,no record,,,11900,,PRI,
79,Black-band Disease,1996,18.0667,-67.8667,Americas,U.S. Caribbean,Puerto Rico,Sardinera,Mona Island,Diploria strigosa,,no record,,,11900,,PRI,
80,Black-band Disease,1996,18.0667,-67.8667,Americas,U.S. Caribbean,Puerto Rico,Sardinera,Mona Island,Montastrea cavernosa,,no record,,,11900,,PRI,
81,Black-band Disease,1996,18.0667,-67.8667,Americas,U.S. Caribbean,Puerto Rico,Sardinera,Mona Island,Montastrea faveolata,,no record,,,11900,,PRI,
82,Black-band Disease,1996,18.0667,-67.8667,Americas,U.S. Caribbean,Puerto Rico,Sardinera,Mona Island,Siderastrea siderea,,no record,,,11900,,PRI,
83,Black-band Disease,1997,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Colpophyllia natans,,no record,,,11900,,PRI,
84,Black-band Disease,1996,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Colpophyllia natans,,no record,,,11900,,PRI,
85,Black-band Disease,1995,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Colpophyllia natans,,no record,,,11900,,PRI,
86,Black-band Disease,1997,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Diploria strigosa,,no record,,,11900,,PRI,
87,Black-band Disease,1996,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Diploria strigosa,,no record,,,11900,,PRI,
88,Black-band Disease,1995,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Diploria strigosa,,no record,,,11900,,PRI,
89,Black-band Disease,1997,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Meandrina meandrites,,no record,,,11900,,PRI,
90,Black-band Disease,1996,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Meandrina meandrites,,no record,,,11900,,PRI,
91,Black-band Disease,1995,17.88889,-67.9972,Americas,U.S. Caribbean,Puerto Rico,Buoy,La Parguera,Meandrina meandrites,,no record,,,11900,,PRI,
92,Black-band Disease,1997,18.32295,-67.27855,Americas,U.S. Caribbean,Puerto Rico,Shacks,Jobos,Diploria clivosa,,no record,,,11900,,PRI,
93,Black-band Disease,1996,18.32295,-67.27855,Americas,U.S. Caribbean,Puerto Rico,Shacks,Jobos,Diploria clivosa,,no record,,,11900,,PRI,
94,Black-band Disease,1995,18.32295,-67.27855,Americas,U.S. Caribbean,Puerto Rico,Shacks,Jobos,Diploria clivosa,,no record,,,11900,,PRI,
95,Black-band Disease,1994,18.32295,-67.27855,Americas,U.S. Caribbean,Puerto Rico,Shacks,Jobos,Diploria clivosa,,no record,,,11900,,PRI,
96,Black-band Disease,1997,18.32295,-67.27855,Americas,U.S. Caribbean,Puerto Rico,Shacks,Jobos,Diploria strigosa,,no record,,,11900,,PRI,
97,Black-band Disease,1996,18.32295,-67.27855,Americas,U.S. Caribbean,Puerto Rico,Shacks,Jobos,Diploria strigosa,,no record,,,11900,,PRI,
98,Black-band Disease,1995,18.32295,-67.27855,Americas,U.S. Caribbean,Puerto Rico,Shacks,Jobos,Diploria strigosa,,no record,,,11900,,PRI,
99,Black-band Disease,1994,18.32295,-67.27855,Americas,U.S. Caribbean,Puerto Rico,Shacks,Jobos,Diploria strigosa,,no record,,,11900,,PRI,
100,Black-band Disease,1998,11.9567,120.2095,Asia,Southeast Asia,Philippines,Twin Peak Islands,north Palawan,Montipora aequituberculat,,Single (1) colony,,,6875,,PHL,"Fenner, D., 1998. Coralist: black band coral-list@coral.aoml.noaa.gov"
101,Black-band Disease,1998,11.7345,119.9505,Asia,Southeast Asia,Philippines,Halsey Harbor,north Palawan,Montipora florida,,Few (2-50) colonies,,,6875,,PHL,"Fenner, D., 1998. Coralist: black band coral-list@coral.aoml.noaa.gov"
102,Black-band Disease,1998,12.19567,119.8598,Asia,Southeast Asia,Philippines,Gutob Penninsula,north Palawan,Pachyseris gemmae,,Single (1) colony,,,6875,,PHL,"Fenner, D., 1998. Coralist: black band coral-list@coral.aoml.noaa.gov"
103,Black-band Disease,1998,11.94367,119.82,Asia,Southeast Asia,Philippines,Galoc Island,north Palawan,Turbinaria mesenterina,,Single (1) colony,,,6875,,PHL,"Fenner, D., 1998. Coralist: black band coral-list@coral.aoml.noaa.gov"
104,Black-band Disease,1991,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Diploria clivosa,5.85,Few (2-50) colonies,1.754,0.003,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
105,Black-band Disease,1992,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Diploria clivosa,1.75,Few (2-50) colonies,0.877,0.001,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
106,Black-band Disease,1993,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Diploria clivosa,,no record,,,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
107,Black-band Disease,1994,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Diploria clivosa,1.17,Few (2-50) colonies,3.22,0.0006,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
108,Black-band Disease,1995,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Diploria clivosa,,no record,,,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
109,Black-band Disease,1991,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Diploria strigosa,5.85,Few (2-50) colonies,1.754,0.003,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
110,Black-band Disease,1992,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Diploria strigosa,1.75,Few (2-50) colonies,0.877,0.001,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
111,Black-band Disease,1993,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Diploria strigosa,,no record,,,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
112,Black-band Disease,1994,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Diploria strigosa,1.17,Few (2-50) colonies,3.22,0.0006,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
113,Black-band Disease,1995,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Diploria strigosa,,no record,,,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
114,Black-band Disease,1991,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Montastrea annularis,4.97,Few (2-50) colonies,2.34,0.003,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
115,Black-band Disease,1992,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Montastrea annularis,3.51,Few (2-50) colonies,1.17,0.002,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
116,Black-band Disease,1993,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Montastrea annularis,,no record,,,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
117,Black-band Disease,1994,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Montastrea annularis,1.46,Few (2-50) colonies,4.09,0.0008,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
118,Black-band Disease,1995,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Montastrea annularis,,no record,,,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
119,Black-band Disease,1991,18.45,-77.2168,Americas,Northern Caribbean,Jamaica,,St. Ann's Bay,Montastrea cavernosa,,no record,,,9550,,JAM,"Bruckner, A.W. and R.J. Bruckner, 1997. The persistence of black-band disease in Jamaica: impact on community structure, p. 601-606. In: H.A. Lessios and I.G. Macintyre (eds.) Proceedings of the 8th International Coral Reef Symposium Vol. 1. Smithsonian Tropical Research Institute, Panama."
